title,singer,image_url,genre,mood
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
I Don't Care,2NE1,https://cdnimg.melon.co.kr/cm/album/images/005/98/055/598055_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
좋은 날,아이유,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
붉은 노을,BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm/album/images/004/05/351/405351_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
너랑 나,아이유,https://cdnimg.melon.co.kr/cm/album/images/020/40/666/2040666_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
하루 끝,아이유,https://cdnimg.melon.co.kr/cm/album/images/021/21/646/2121646_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
SHAKE IT,씨스타,https://cdnimg.melon.co.kr/cm/album/images/023/25/345/2325345_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
스물셋,아이유,https://cdnimg.melon.co.kr/cm/album/images/026/46/282/2646282_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
8282,다비치,https://cdnimg.melon.co.kr/cm/album/images/005/08/460/508460_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
T.T.L (Time To Love),티아라,https://cdnimg.melon.co.kr/cm/album/images/007/27/252/727252_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
Bus 안에서,자자 (ZAZA),https://cdnimg.melon.co.kr/cm/album/images/000/05/457/5457_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
Touch My Body,씨스타,https://cdnimg.melon.co.kr/cm/album/images/022/68/221/2268221_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
빙고 (아싸),거북이,https://cdnimg.melon.co.kr/cm/album/images/000/43/466/43466_500.jpg/melon/resize/120/quality/80/optimize,Dance,행복
